Section,Measure,Unit,Year,Value
Frequency of observation: Annual,Total energy supply 1,"Index, 2000",2018,202.38
Frequency of observation: Annual,Total energy supply 1,"Index, 2000",2019,202.06
Frequency of observation: Annual,Total energy supply 1,"Index, 2000",2020,185.01
Frequency of observation: Annual,Total energy supply 1,"Index, 2000",2021,195.9
Frequency of observation: Annual,Total energy supply 1,"Index, 2000",2022,196.89
Frequency of observation: Annual,Total energy supply 1,"Index, 2000",2023,208.0
Frequency of observation: Annual,Total energy supply 1,"Index, 2000",2024,209.08
Frequency of observation: Annual,Renewable energy supply,"Tonnes of oil equivalent, Thousands",2009,658030.0
Frequency of observation: Annual,Renewable energy supply,"Tonnes of oil equivalent, Thousands",2010,740164.0
Frequency of observation: Annual,Renewable energy supply,"Tonnes of oil equivalent, Thousands",2011,756396.0
Frequency of observation: Annual,Renewable energy supply,"Tonnes of oil equivalent, Thousands",2012,716394.0
Frequency of observation: Annual,Renewable energy supply,"Tonnes of oil equivalent, Thousands",2013,731145.0
Frequency of observation: Annual,Renewable energy supply,"Tonnes of oil equivalent, Thousands",2014,751618.0
Frequency of observation: Annual,Renewable energy supply,"Tonnes of oil equivalent, Thousands",2015,856672.0
Frequency of observation: Annual,Renewable energy supply,"Tonnes of oil equivalent, Thousands",2016,1075180.0
Frequency of observation: Annual,Renewable energy supply,"Tonnes of oil equivalent, Thousands",2017,1059056.0
Frequency of observation: Annual,Renewable energy supply,"Tonnes of oil equivalent, Thousands",2018,1024842.0
Frequency of observation: Annual,Renewable energy supply,"Tonnes of oil equivalent, Thousands",2019,1058849.0
Frequency of observation: Annual,Renewable energy supply,"Tonnes of oil equivalent, Thousands",2020,1099162.0
Frequency of observation: Annual,Renewable energy supply,"Tonnes of oil equivalent, Thousands",2021,1121525.0
